LastPrice,Volume,Bid1Price,Bid1Volume,Ask1Price,Ask1Volume,FutureAvgPrice,Traded,Volume_increased,TradedPred
6076.8,230,6076,1,6077.2,1,6077.16,1,3,1
6076.8,230,6076.2,3,6077.2,1,6077.2,1,0,1
6077.2,231,6077.4,3,6077.8,1,6077.2,0,1,0
6077.2,231,6076.8,1,6077.8,1,6077,0,0,0
6077.2,231,6076.8,1,6077.8,1,6076.78,0,0,0
6077.2,231,6076.8,1,6077.6,1,6076.56,0,0,0
6077.2,231,6076.4,2,6077.6,1,6076.34,0,0,0
6077.2,231,6075.8,2,6077.6,1,6076.12,0,0,0
6077.2,231,6076,1,6077.4,1,6075.9,0,0,0
6077.2,231,6075.8,2,6077.2,1,6075.68,0,0,0
6077.2,231,6075.8,2,6077.2,1,6075.46,0,0,0
6077.2,231,6075,4,6077.2,1,6075.24,0,0,0
6077.2,231,6075.2,1,6077,1,6075.02,0,0,0
6075.2,232,6075,5,6076.6,1,6075.08,0,1,0
6075,234,6075,3,6076.4,2,6075.16,1,2,1
6075,234,6075,3,6076.2,3,6075.24,1,0,1
6075,234,6075,2,6076.2,2,6075.32,1,0,1
6075,234,6075,2,6076.2,1,6075.4,1,0,1
6075,234,6075.4,1,6076.4,1,6075.6,1,0,1
6075,234,6075.2,1,6077,1,6075.8,1,0,1
6075,234,6075.8,1,6076.8,1,6076,1,0,1
6075,234,6076,2,6077,1,6076.2,1,0,1
6075,234,6076.8,1,6077,1,6076.4,1,0,1
6075.8,236,6075.4,1,6077,1,6076.52,1,2,1
6075.8,236,6075.6,3,6076.8,1,6076.64,1,0,1
6075.8,236,6075.8,1,6076.8,1,6076.76,1,0,1
6075.8,236,6075.6,2,6077,1,6076.92,1,0,1
6075.8,236,6075.8,1,6077,1,6077.08,1,0,1
6077,237,6075.6,1,6077.6,1,6077.16,1,1,1
6077,237,6076,1,6077.2,1,6077.24,1,0,1
6077,237,6075.8,4,6077.2,1,6077.34,1,0,1
6077,237,6076,2,6077.6,1,6077.44,1,0,1
6077,237,6076,1,6077,1,6077.58,1,0,1
6077,238,6076.2,2,6077.6,1,6077.72,1,1,1
6077,238,6075.8,3,6077.4,1,6077.8,1,0,1
6077,238,6076,2,6077.4,1,6077.92,1,0,1
6077.4,239,6076,2,6077.8,1,6077.96,1,1,1
6077.4,239,6076.4,1,6077.8,1,6078.06,1,0,1
6077.8,240,6077.8,5,6078.4,1,6078.12,1,1,1
6077.8,240,6078,1,6078.6,2,6078.22,1,0,1
6078,243,6077.8,5,6079.4,1,6078.36,1,3,1
6078,243,6078.2,3,6079.2,1,6078.5,1,0,1
6078.4,245,6078.4,1,6080.6,1,6078.6,1,2,0
6078.4,245,6077.8,5,6080,5,6078.7,1,0,0
6077.8,246,6077.8,4,6079.6,1,6078.98,1,1,1
6078.2,247,6077.8,4,6079,1,6079.12,1,1,0
6077.8,251,6077,1,6078.6,1,6079.4,1,4,1
6078.4,252,6077.2,1,6079,2,6079.68,1,1,1
6078.4,252,6077.6,1,6078.8,1,6079.94,1,0,1
6078.8,253,6078,2,6079.4,1,6080.16,1,1,1
6079.4,254,6078.4,2,6080.4,2,6080.32,1,1,1
6079.4,254,6079.4,1,6080.2,1,6080.48,1,0,1
6079.4,255,6078.8,1,6081.4,1,6080.64,1,1,1
6079.4,255,6079,3,6080.8,1,6080.8,1,0,1
6080.6,256,6079.4,1,6080.8,1,6080.84,1,1,0
6079.6,257,6079.6,1,6080.6,2,6080.92,1,1,1
6080.6,259,6079.8,1,6081.2,1,6080.9,1,2,0
6081.2,260,6080.2,1,6081,1,6080.82,0,1,0
6081,261,6080.6,1,6082,1,6080.74,0,1,0
6081,261,6080.6,1,6081.8,2,6080.66,0,0,0
6081,261,6080.6,1,6081.8,2,6080.5,0,0,0
6081,261,6080.4,1,6081.8,2,6080.3,0,0,0
6081,261,6080.4,1,6081.8,2,6080.2,0,0,0
6081,261,6080.4,1,6081.6,1,6080.1,0,0,0
6081,261,6080.4,1,6081.4,1,6079.8,0,0,0
6080.4,262,6080.2,1,6081.8,2,6079.56,0,1,0
6080.4,262,6080.2,1,6081.4,2,6079.32,0,0,0
6080.4,262,6080.2,1,6081.2,1,6079.08,0,0,0
6080.2,263,6079.2,2,6081.2,1,6079.02,0,1,0
6080.2,263,6079.4,1,6081.2,1,6078.96,0,0,0
6079.4,264,6079,2,6080.6,1,6078.98,0,1,0
6079,265,6078.8,1,6080.2,1,6079.04,1,1,1
6080,267,6078,1,6080.2,2,6079,0,2,0
6080,267,6078,1,6079.6,1,6078.96,0,0,0
6078,269,6078.2,1,6079.6,1,6079.28,1,2,1
6078,269,6078.2,1,6079.2,1,6079.6,1,0,1
6078,269,6078.2,1,6079.6,1,6079.92,1,0,1
6078,269,6079.6,1,6080,1,6080.24,1,0,1
6079.6,270,6078.2,1,6079.8,4,6080.4,1,1,1
6079.6,270,6078.2,1,6079.8,3,6080.6,1,0,1
6079.6,270,6078.4,1,6080,1,6080.8,1,0,1
6079.6,270,6079.8,1,6081,1,6081,1,0,1
6079.6,270,6079.8,1,6080.8,3,6081.2,1,0,1
6079.6,270,6079.8,1,6080.8,3,6081.4,1,0,1
6081.2,271,6080,1,6082,1,6081.44,1,1,1
6081.2,271,6080.2,1,6081.8,3,6081.3,1,0,1
6081.2,271,6079.8,1,6081.6,1,6081.34,1,0,1
6081.2,271,6080,1,6081.6,1,6081.38,1,0,1
6081.2,271,6079.8,1,6081.6,1,6081.42,1,0,0
6081.6,272,6080,1,6081.8,3,6081.42,0,1,0
6081.6,272,6080.2,1,6081.8,3,6081.42,0,0,0
6081.6,272,6078.8,1,6081.4,1,6081.38,0,0,0
6081.6,273,6079.8,1,6081.2,1,6081.34,0,1,0
6081.6,273,6080,1,6081.2,1,6081.3,0,0,0
6081.6,273,6079.6,1,6081.6,1,6081.26,0,0,0
6079.8,275,6079.8,1,6081.6,1,6081.4,1,2,1
6081.6,276,6080,2,6081.8,2,6081.36,0,1,0
6081.6,276,6080.2,2,6081.8,2,6081.32,0,0,0
6081.6,276,6080.4,1,6081.8,3,6081.28,0,0,0
6081.6,276,6080.6,2,6082,1,6081.24,0,0,0
6081.6,276,6080.8,1,6081,1,6081.2,0,0,0
6081.2,277,6080.6,1,6081.8,1,6081.2,0,1,0
6081.2,277,6080.8,1,6082,1,6081.2,0,0,0
6081.2,277,6080.2,1,6081.8,3,6081.24,1,0,0
6081.2,277,6080.2,1,6081.8,3,6081.28,1,0,0
6081.2,277,6080.4,1,6081.2,1,6081.32,1,0,1
6081.2,277,6080,1,6081.6,1,6081.36,1,0,1
6081.2,277,6080,1,6081.2,2,6081.4,1,0,1
6081.2,277,6080,1,6081.6,2,6081.44,1,0,1
6081.2,277,6080.2,1,6081.6,2,6081.48,1,0,1
6081.2,277,6080.4,2,6081.6,2,6081.52,1,0,1
6081.2,277,6080.4,1,6081.6,1,6081.56,1,0,1
6081.2,277,6080.2,1,6081.6,1,6081.6,1,0,1
6081.6,278,6080.6,1,6082,1,6081.48,0,1,0
6081.6,278,6080.8,1,6081.8,1,6081.48,0,0,0
6081.6,278,6081,1,6082,1,6081.32,0,0,0
6081.6,278,6080.2,1,6081.8,3,6081.26,0,0,0
6081.6,278,6080.2,1,6081.8,2,6081.2,0,0,0
6081.6,278,6080.2,1,6081.8,2,6081.14,0,0,0
6081.6,278,6080.2,1,6081.2,1,6081.08,0,0,0
6081.6,278,6080,1,6081,1,6081.02,0,0,0
6081.6,278,6080.2,1,6081,1,6080.96,0,0,0
6081.6,278,6080,1,6080.2,1,6080.78,0,0,0
6080.4,279,6081.6,1,6081.8,2,6080.72,1,1,1
6081.6,281,6079.4,1,6081.2,1,6080.7,0,2,0
6080,282,6081,1,6081.8,2,6080.7,1,1,1
6081,283,6079.8,1,6081.8,3,6080.6,0,1,0
6081,283,6080.2,2,6081.6,1,6080.5,0,0,0
6081,283,6079.8,1,6081.8,2,6080.4,0,0,0
6081,283,6080,3,6081.6,1,6080.3,0,0,0
6081,283,6080,1,6081.4,1,6080.2,0,0,0
6081,283,6079.6,6,6081.4,1,6080.1,0,0,0
6079.8,286,6079.8,1,6081.4,1,6080.24,1,3,1
6079.8,286,6079.6,4,6081.4,1,6080.38,1,0,1
6081.4,287,6079.8,3,6081.6,1,6080.36,0,1,0
6080,288,6080,1,6081.6,1,6080.48,1,1,1
6080,288,6080,3,6081.6,1,6080.6,1,0,1
6080,288,6080,3,6081.6,1,6080.72,1,0,1
6080,289,6080.2,1,6081.4,1,6080.84,1,1,1
6080,289,6080,2,6081.2,1,6080.96,1,0,1
6080,291,6079.8,3,6081.2,1,6081.08,1,2,1
6080,291,6079.8,2,6081,1,6081.2,1,0,1
6081.2,292,6079.8,2,6081.6,1,6081.2,0,1,0
6081.2,292,6080,2,6081.2,1,6081.2,0,0,0
6081.2,292,6079.8,2,6081.2,1,6081.2,0,0,0
6081.2,292,6080,1,6081.2,2,6081.2,0,0,0
6081.2,292,6079.8,2,6081.2,2,6081.12,0,0,0
6081.2,292,6080,1,6081.2,2,6081.04,0,0,0
6081.2,292,6080,1,6081.2,2,6081.12,0,0,0
6081.2,292,6079.6,4,6081.2,2,6081.22,1,0,0
6081.2,292,6079.8,3,6081.2,2,6081.32,1,0,1
6081.2,292,6080,1,6081.2,2,6081.42,1,0,1
6081.2,292,6079.8,2,6081.2,2,6081.52,1,0,1
6081.2,292,6080.2,1,6081.2,2,6081.62,1,0,1
6081.2,292,6080.2,1,6081.2,2,6081.66,1,0,1
6081.2,292,6080.2,1,6081.2,2,6081.7,1,0,1
6080.4,295,6080.2,1,6082,1,6081.82,1,3,1
6080.4,295,6080.4,3,6082,1,6081.94,1,0,1
6082,296,6080.8,3,6082.2,1,6081.88,0,1,0
6082.2,297,6081.4,1,6083,1,6081.74,0,1,0
6082.2,297,6081.6,3,6083,1,6081.6,0,0,0
6082.2,297,6081.6,1,6083,1,6081.46,0,0,0
6082.2,297,6081.6,1,6083,1,6081.32,0,0,0
6082.2,297,6081.6,1,6082.8,1,6081.18,0,0,0
6081.6,298,6081.4,1,6082,2,6081.1,0,1,0
6081.6,298,6080.4,1,6082.6,2,6081.02,0,0,0
6081.6,298,6080.6,6,6082.2,1,6080.94,0,0,0
6081.6,298,6081.4,1,6082.2,1,6080.86,0,0,0
6081.4,299,6080.8,2,6082,1,6081,0,1,0
6080.8,300,6080.6,2,6082,1,6081.2,1,1,1
6080.8,300,6080,1,6082,1,6081.4,1,0,1
6080.8,300,6080.4,1,6081.8,1,6081.6,1,0,1
6080.8,300,6080.2,3,6081.8,1,6081.8,1,0,1
6080.8,300,6080.6,1,6082.6,2,6081.9,1,0,1
6080.8,300,6081,2,6082.4,1,6082,1,0,1
6080.8,300,6081.2,2,6082.4,1,6082.08,1,0,1
6080.8,300,6081,1,6083,3,6082.16,1,0,1
6080.8,300,6081.2,1,6082.8,3,6082.24,1,0,1
6082.8,301,6081.4,4,6083,3,6082.12,0,1,0
6082.8,301,6081.6,2,6083,3,6082.12,0,0,0
6082.8,301,6081.8,1,6083,3,6082.14,0,0,0
6082.8,301,6081.6,2,6083,3,6082.12,0,0,0
6082.8,301,6081.2,3,6081.6,6,6082.1,0,0,0
6081.8,303,6081.2,2,6081.6,4,6082.18,1,2,1
6081.8,303,6081.2,2,6081.6,4,6082.3,1,0,1
6081.6,307,6081.6,1,6082.8,1,6082.44,1,4,1
6081.6,307,6080.6,1,6082.4,1,6082.58,1,0,1
6081.6,307,6081.6,1,6082.6,2,6082.72,1,0,1
6081.6,307,6081.6,1,6082.8,1,6082.84,1,0,1
6082.8,308,6082,2,6083,3,6082.94,1,1,1
6083,311,6082.4,1,6084.4,1,6082.88,0,3,0
6082.6,313,6082.6,1,6084.2,1,6082.86,1,2,1
6082.6,313,6082.8,4,6084.6,1,6082.84,1,0,1
6082.6,313,6083,1,6084.6,1,6082.82,1,0,0
6083,315,6083.2,1,6084.6,1,6082.68,0,2,0
6083,315,6083.4,1,6084.4,1,6082.54,0,0,0
6083,316,6083,1,6084.4,1,6082.4,0,1,0
6083,316,6083,1,6084.2,1,6082.26,0,0,0
6082.8,318,6082.2,2,6084.4,1,6082.12,0,2,0
6083.8,319,6082.4,2,6084,3,6081.88,0,1,0
6082.4,321,6082.2,2,6083.8,1,6081.78,0,2,0
6082.4,321,6082,1,6083.4,1,6081.68,0,0,0
6082.4,321,6082,1,6083.2,2,6081.58,0,0,0
6082.4,321,6082,1,6083.2,1,6081.48,0,0,0
6081.6,323,6080.8,1,6083.2,1,6081.46,0,2,0
6081.6,323,6081.4,1,6083,1,6081.44,0,0,0
6081.6,323,6081.4,1,6083.6,2,6081.42,0,0,0
6081.6,323,6081,3,6081.4,3,6081.4,0,0,0
6081.4,326,6081.4,2,6083,1,6081.4,0,3,0
6081.4,326,6081,2,6082.4,3,6081.4,0,0,0
6081.4,326,6081,2,6082.2,1,6081.4,0,0,0
6081.4,326,6081,2,6082.4,2,6081.4,0,0,0
6081.4,326,6081,3,6082.4,2,6081.36,0,0,0
6081.4,326,6081,3,6082.2,1,6081.32,0,0,0
6081.4,326,6081,3,6082.8,3,6081.2,0,0,0
6081.4,326,6081.2,1,6082.6,3,6081.08,0,0,0
6081.4,326,6081,3,6082.4,1,6080.96,0,0,0
6081.4,326,6081.2,1,6082.4,1,6080.84,0,0,0
6081.4,326,6081,3,6082,1,6080.72,0,0,0
6081.4,326,6081,3,6081.8,1,6080.6,0,0,0
6081.4,326,6081,3,6081.8,1,6080.46,0,0,0
6081.4,326,6081,3,6081.6,1,6080.16,0,0,0
6081,329,6080,1,6081.6,1,6079.9,0,3,0
6081,329,6080.2,2,6081.6,1,6079.64,0,0,0
6080.2,331,6079.8,2,6081.6,1,6079.46,0,2,0
6080.2,331,6080,2,6081.2,2,6079.28,0,0,0
6080.2,331,6080,2,6080.8,1,6079.1,0,0,0
6080.2,331,6080,2,6080.8,1,6078.92,0,0,0
